psfSize,cost,outVarlap1,outVarlapnorm1,outVarlap2,outVarlapnorm2,outMean,outMeannorm
2,0.059059,-3143,-0.0019183,3143,0.0019183,67.9391,4.1467e-05
3,0.076968,-3134,-0.0019128,3134,0.0019128,67.9401,4.1467e-05
4,0.10851,-3139,-0.0019159,3139,0.0019159,67.9393,4.1467e-05
5,0.11969,-3114,-0.0019006,3114,0.0019006,67.9401,4.1467e-05
6,0.13856,-3116,-0.0019019,3116,0.0019019,67.941,4.1468e-05
7,0.15089,-3134,-0.0019128,3134,0.0019128,67.9416,4.1468e-05
8,0.16315,-3165,-0.0019318,3165,0.0019318,67.9427,4.1469e-05
9,0.17816,-3163,-0.0019305,3163,0.0019305,67.9439,4.147e-05
10,0.19679,-3182,-0.0019421,3182,0.0019421,67.9467,4.1471e-05
11,0.22013,-3161,-0.0019293,3161,0.0019293,67.9496,4.1473e-05
12,0.24452,-3190,-0.001947,3190,0.001947,67.9532,4.1475e-05
13,0.27572,-3231,-0.001972,3231,0.001972,67.9595,4.1479e-05
14,0.31373,-3320,-0.0020264,3320,0.0020264,67.9747,4.1488e-05
15,0.34912,-3396,-0.0020728,3396,0.0020728,68.0269,4.152e-05
16,0.38487,-3530,-0.0021545,3530,0.0021545,68.1528,4.1597e-05
17,0.43202,-3546,-0.0021643,3546,0.0021643,68.3392,4.1711e-05
18,0.49068,-3225,-0.0019684,3225,0.0019684,68.5724,4.1853e-05
19,0.54827,-2965,-0.0018097,2965,0.0018097,68.8842,4.2044e-05
20,0.6072,-4930,-0.003009,4930,0.003009,69.2154,4.2246e-05
21,0.64371,-6558,-0.0040027,6558,0.0040027,69.6509,4.2512e-05
22,0.6953,-6549,-0.0039972,6549,0.0039972,70.0635,4.2763e-05
23,0.75993,-7221,-0.0044073,7221,0.0044073,70.5912,4.3085e-05
24,0.83991,-8696,-0.0053076,8696,0.0053076,71.0027,4.3337e-05
25,0.92814,-19272,-0.011763,19272,0.011763,71.3605,4.3555e-05
26,0.93127,-33308,-0.02033,33308,0.02033,72.0571,4.398e-05
27,1.0119,-36201,-0.022095,36201,0.022095,72.3757,4.4175e-05
28,1.106,-30983,-0.018911,30983,0.018911,72.5967,4.431e-05
29,1.136,-27941,-0.017054,27941,0.017054,73.1679,4.4658e-05
30,1.1391,-27973,-0.017073,27973,0.017073,73.8824,4.5094e-05
